,time,open,high,low,close,volume
326,2014-02-16,2.63,2.74,2.6,2.67,2462550
327,2014-02-23,2.66,2.69,2.53,2.61,2021450
328,2014-03-02,2.61,2.86,2.61,2.66,3803810
329,2014-03-09,2.66,2.71,2.61,2.67,1915770
330,2014-03-16,2.68,2.91,2.66,2.75,2723720
331,2014-03-23,2.65,2.91,2.65,2.86,8777140
332,2014-03-30,2.91,2.99,2.77,2.91,7011630
333,2014-04-06,2.94,3.05,2.8,3.05,4841560
334,2014-04-13,3.02,3.13,2.99,3.08,3127780
335,2014-04-20,3.13,3.16,2.83,2.86,4219760
336,2014-04-27,2.86,3.22,2.8,3.22,2766590
337,2014-05-04,3.22,3.23,3.16,3.23,600680
338,2014-05-11,3.21,3.23,2.8,3.0,5190290
339,2014-05-18,2.95,3.1,2.82,3.06,3014320
340,2014-05-25,3.06,3.34,3.05,3.31,3107840
341,2014-06-01,3.28,3.41,3.21,3.31,2727410
342,2014-06-08,3.28,3.34,3.16,3.25,846380
343,2014-06-15,3.25,3.44,3.19,3.38,2748480
344,2014-06-22,3.38,3.6,3.31,3.34,4595840
345,2014-06-29,3.44,3.54,3.38,3.47,2493040
346,2014-07-06,3.44,3.64,3.44,3.6,6046860
347,2014-07-13,3.57,3.64,3.51,3.57,4166020
348,2014-07-20,3.57,3.8,3.57,3.77,6711860
349,2014-07-27,3.73,3.8,3.64,3.67,3814330
350,2014-08-03,3.64,3.73,3.54,3.67,3354600
351,2014-08-10,3.64,3.73,3.6,3.64,3509860
352,2014-08-17,3.6,3.73,3.57,3.7,2823610
353,2014-08-24,3.7,3.9,3.67,3.86,5666890
354,2014-08-31,3.86,3.99,3.77,3.77,6467330
355,2014-09-07,3.8,4.03,3.8,3.96,3342270
356,2014-09-14,3.96,3.99,3.73,3.77,4243020
357,2014-09-21,3.77,3.83,3.64,3.64,5501700
358,2014-09-28,3.67,3.8,3.64,3.77,3351000
359,2014-10-05,3.77,3.86,3.73,3.83,2279800
360,2014-10-12,3.8,3.86,3.73,3.8,3468540
361,2014-10-19,3.8,3.8,3.34,3.47,5604020
