time,open,high,low,close,volume,FINANCIAL_PRODUCT,MARKET_PERCEPTION,LEADERSHIP,DIGITAL_BANKING,MACRO_REGULATION,SERVICE,FINANCIAL_FEE
2023-11-15,57.44,58.24,57.44,58.24,4067800,0.6694,0.7714,0.4667,1.0,0.52,1.0,0.0
2023-11-16,57.78,58.44,57.58,58.44,1284800,0.3388,0.0,0.4667,1.0,0.52,0.0,0.0
2023-11-17,58.31,58.37,56.78,56.85,1588000,0.3388,0.0,0.4667,1.0,0.52,0.0,0.0
2023-11-20,56.85,57.78,56.45,57.18,1098400,0.3388,0.0,0.4667,1.0,0.52,0.0,0.0
2023-11-21,57.18,57.58,56.98,57.51,1151400,0.3388,0.0,0.4667,1.0,0.52,0.0,0.0
2023-11-22,57.31,57.58,56.78,57.58,1012700,0.3388,0.0,0.4667,1.0,0.52,0.0,0.0
2023-11-23,57.58,57.64,56.78,56.78,647200,0.3388,0.0,0.375,1.0,0.52,0.2,0.0
2023-11-24,56.78,57.11,56.45,57.11,734500,0.3388,0.0,0.375,1.0,0.52,0.2,0.0
2023-11-27,57.11,57.11,56.51,56.98,443000,0.3388,0.0,0.375,1.0,0.52,0.2,0.0
2023-11-28,56.78,57.04,56.31,56.98,779400,0.3388,0.0,0.375,1.0,0.52,0.2,0.0
2023-11-29,56.71,57.04,56.51,56.51,733100,0.3388,0.0,0.375,1.0,0.52,0.2,0.0
2023-11-30,56.51,56.71,56.25,56.25,927600,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-01,56.38,56.45,55.85,56.45,714700,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-04,56.71,57.24,56.31,57.11,888100,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-05,57.11,57.18,56.31,56.71,992800,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-06,56.65,57.11,56.45,57.04,638000,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-07,56.91,57.11,56.45,56.58,992300,0.3388,0.0,0.4333,1.0,0.52,0.6,0.0
2023-12-08,56.58,56.78,56.45,56.45,1183000,0.1194,0.0,0.475,1.0,0.52,0.6,0.0
2023-12-11,56.45,56.65,55.85,55.92,1400000,-0.1,0.0,0.3,1.0,0.0,0.6,0.0
2023-12-12,56.25,56.25,55.78,55.92,1006400,-0.1,0.0,0.3,1.0,0.0,0.6,0.0
2023-12-13,55.92,56.12,55.58,55.58,1152900,-0.1,0.0,0.3,1.0,0.0,0.6,0.0
2023-12-14,55.78,56.12,55.78,56.05,840600,-0.1,0.0,0.3,1.0,0.0,0.6,0.0
2023-12-15,55.78,56.05,54.59,54.59,2530300,-0.1,0.0,0.3,1.0,0.0,0.6,0.0
